image_file,patch_index,num_nuclei,density_per_mm2
SOB_M_DC-14-11031-400-001.png,0,20,1509479.531
SOB_M_DC-14-11031-400-001.png,1,13,981161.6954
SOB_M_DC-14-11031-400-001.png,2,21,1584953.508
SOB_M_DC-14-11031-400-001.png,3,19,1434005.555
SOB_M_DC-14-11031-400-001.png,4,29,2188745.321
SOB_M_DC-14-11031-400-001.png,5,8,603791.8126
SOB_M_DC-14-11031-400-002.png,0,25,1886849.414
SOB_M_DC-14-11031-400-002.png,1,23,1735901.461
SOB_M_DC-14-11031-400-002.png,2,29,2188745.321
SOB_M_DC-14-11031-400-002.png,3,39,2943485.086
SOB_M_DC-14-11031-400-002.png,4,23,1735901.461
SOB_M_DC-14-11031-400-002.png,5,10,754739.7657
SOB_M_DC-14-11031-400-003.png,0,13,981161.6954
SOB_M_DC-14-11031-400-003.png,1,22,1660427.485
SOB_M_DC-14-11031-400-003.png,2,15,1132109.649
SOB_M_DC-14-11031-400-003.png,3,15,1132109.649
SOB_M_DC-14-11031-400-003.png,4,14,1056635.672
SOB_M_DC-14-11031-400-003.png,5,18,1358531.578
SOB_M_DC-14-11031-400-004.png,0,17,1283057.602
SOB_M_DC-14-11031-400-004.png,1,19,1434005.555
SOB_M_DC-14-11031-400-004.png,2,20,1509479.531
SOB_M_DC-14-11031-400-004.png,3,19,1434005.555
SOB_M_DC-14-11031-400-004.png,4,16,1207583.625
SOB_M_DC-14-11031-400-004.png,5,17,1283057.602
SOB_M_DC-14-11031-400-005.png,0,48,3622750.875
SOB_M_DC-14-11031-400-005.png,1,26,1962323.391
SOB_M_DC-14-11031-400-005.png,2,40,3018959.063
SOB_M_DC-14-11031-400-005.png,3,37,2792537.133
SOB_M_DC-14-11031-400-005.png,4,29,2188745.321
SOB_M_DC-14-11031-400-005.png,5,36,2717063.157
SOB_M_DC-14-11031-400-006.png,0,13,981161.6954
SOB_M_DC-14-11031-400-006.png,1,16,1207583.625
SOB_M_DC-14-11031-400-006.png,2,19,1434005.555
SOB_M_DC-14-11031-400-006.png,3,11,830213.7423
SOB_M_DC-14-11031-400-006.png,4,18,1358531.578
SOB_M_DC-14-11031-400-006.png,5,18,1358531.578
SOB_M_DC-14-11031-400-007.png,0,31,2339693.274
SOB_M_DC-14-11031-400-007.png,1,34,2566115.203
SOB_M_DC-14-11031-400-007.png,2,55,4151068.712
SOB_M_DC-14-11031-400-007.png,3,32,2415167.25
SOB_M_DC-14-11031-400-007.png,4,32,2415167.25
SOB_M_DC-14-11031-400-007.png,5,35,2641589.18
SOB_M_DC-14-11031-400-008.png,0,17,1283057.602
SOB_M_DC-14-11031-400-008.png,1,15,1132109.649
SOB_M_DC-14-11031-400-008.png,2,33,2490641.227
SOB_M_DC-14-11031-400-008.png,3,24,1811375.438
SOB_M_DC-14-11031-400-008.png,4,28,2113271.344
SOB_M_DC-14-11031-400-008.png,5,17,1283057.602
SOB_M_DC-14-11031-400-009.png,0,27,2037797.367
SOB_M_DC-14-11031-400-009.png,1,15,1132109.649
SOB_M_DC-14-11031-400-009.png,2,47,3547276.899
SOB_M_DC-14-11031-400-009.png,3,23,1735901.461
SOB_M_DC-14-11031-400-009.png,4,25,1886849.414
SOB_M_DC-14-11031-400-009.png,5,26,1962323.391
SOB_M_DC-14-11031-400-010.png,0,18,1358531.578
SOB_M_DC-14-11031-400-010.png,1,18,1358531.578
SOB_M_DC-14-11031-400-010.png,2,26,1962323.391
SOB_M_DC-14-11031-400-010.png,3,29,2188745.321
SOB_M_DC-14-11031-400-010.png,4,12,905687.7189
SOB_M_DC-14-11031-400-010.png,5,20,1509479.531
SOB_M_DC-14-11031-400-011.png,0,36,2717063.157
SOB_M_DC-14-11031-400-011.png,1,36,2717063.157
SOB_M_DC-14-11031-400-011.png,2,32,2415167.25
SOB_M_DC-14-11031-400-011.png,3,27,2037797.367
SOB_M_DC-14-11031-400-011.png,4,23,1735901.461
SOB_M_DC-14-11031-400-011.png,5,39,2943485.086
