image_file,patch_index,num_nuclei,density_per_mm2
SOB_M_DC-14-16716-40-001.png,0,8,60.37918126
SOB_M_DC-14-16716-40-001.png,1,6,45.28438594
SOB_M_DC-14-16716-40-001.png,2,14,105.6635672
SOB_M_DC-14-16716-40-001.png,3,7,52.8317836
SOB_M_DC-14-16716-40-001.png,4,10,75.47397657
SOB_M_DC-14-16716-40-001.png,5,9,67.92657892
SOB_M_DC-14-16716-40-002.png,0,20,150.9479531
SOB_M_DC-14-16716-40-002.png,1,13,98.11616954
SOB_M_DC-14-16716-40-002.png,2,12,90.56877189
SOB_M_DC-14-16716-40-002.png,3,9,67.92657892
SOB_M_DC-14-16716-40-002.png,4,12,90.56877189
SOB_M_DC-14-16716-40-002.png,5,8,60.37918126
SOB_M_DC-14-16716-40-003.png,0,12,90.56877189
SOB_M_DC-14-16716-40-003.png,1,13,98.11616954
SOB_M_DC-14-16716-40-003.png,2,12,90.56877189
SOB_M_DC-14-16716-40-003.png,3,4,30.18959063
SOB_M_DC-14-16716-40-003.png,4,25,188.6849414
SOB_M_DC-14-16716-40-003.png,5,19,143.4005555
SOB_M_DC-14-16716-40-004.png,0,27,203.7797367
SOB_M_DC-14-16716-40-004.png,1,19,143.4005555
SOB_M_DC-14-16716-40-004.png,2,8,60.37918126
SOB_M_DC-14-16716-40-004.png,3,20,150.9479531
SOB_M_DC-14-16716-40-004.png,4,15,113.2109649
SOB_M_DC-14-16716-40-004.png,5,23,173.5901461
SOB_M_DC-14-16716-40-005.png,0,23,173.5901461
SOB_M_DC-14-16716-40-005.png,1,7,52.8317836
SOB_M_DC-14-16716-40-005.png,2,11,83.02137423
SOB_M_DC-14-16716-40-005.png,3,41,309.4433039
SOB_M_DC-14-16716-40-005.png,4,21,158.4953508
SOB_M_DC-14-16716-40-005.png,5,16,120.7583625
SOB_M_DC-14-16716-40-006.png,0,23,173.5901461
SOB_M_DC-14-16716-40-006.png,1,5,37.73698829
SOB_M_DC-14-16716-40-006.png,2,26,196.2323391
SOB_M_DC-14-16716-40-006.png,3,15,113.2109649
SOB_M_DC-14-16716-40-006.png,4,8,60.37918126
SOB_M_DC-14-16716-40-006.png,5,6,45.28438594
SOB_M_DC-14-16716-40-007.png,0,7,52.8317836
SOB_M_DC-14-16716-40-007.png,1,6,45.28438594
SOB_M_DC-14-16716-40-007.png,2,2,15.09479531
SOB_M_DC-14-16716-40-007.png,3,13,98.11616954
SOB_M_DC-14-16716-40-007.png,4,6,45.28438594
SOB_M_DC-14-16716-40-007.png,5,6,45.28438594
SOB_M_DC-14-16716-40-008.png,0,23,173.5901461
SOB_M_DC-14-16716-40-008.png,1,12,90.56877189
SOB_M_DC-14-16716-40-008.png,2,13,98.11616954
SOB_M_DC-14-16716-40-008.png,3,24,181.1375438
SOB_M_DC-14-16716-40-008.png,4,10,75.47397657
SOB_M_DC-14-16716-40-008.png,5,12,90.56877189
SOB_M_DC-14-16716-40-009.png,0,23,173.5901461
SOB_M_DC-14-16716-40-009.png,1,6,45.28438594
SOB_M_DC-14-16716-40-009.png,2,9,67.92657892
SOB_M_DC-14-16716-40-009.png,3,14,105.6635672
SOB_M_DC-14-16716-40-009.png,4,7,52.8317836
SOB_M_DC-14-16716-40-009.png,5,7,52.8317836
SOB_M_DC-14-16716-40-010.png,0,29,218.8745321
SOB_M_DC-14-16716-40-010.png,1,80,603.7918126
SOB_M_DC-14-16716-40-010.png,2,13,98.11616954
SOB_M_DC-14-16716-40-010.png,3,13,98.11616954
SOB_M_DC-14-16716-40-010.png,4,59,445.2964618
SOB_M_DC-14-16716-40-010.png,5,43,324.5380993
SOB_M_DC-14-16716-40-011.png,0,13,98.11616954
SOB_M_DC-14-16716-40-011.png,1,5,37.73698829
SOB_M_DC-14-16716-40-011.png,2,18,135.8531578
SOB_M_DC-14-16716-40-011.png,3,13,98.11616954
SOB_M_DC-14-16716-40-011.png,4,17,128.3057602
SOB_M_DC-14-16716-40-011.png,5,45,339.6328946
SOB_M_DC-14-16716-40-012.png,0,5,37.73698829
SOB_M_DC-14-16716-40-012.png,1,35,264.158918
SOB_M_DC-14-16716-40-012.png,2,37,279.2537133
SOB_M_DC-14-16716-40-012.png,3,33,249.0641227
SOB_M_DC-14-16716-40-012.png,4,30,226.4219297
SOB_M_DC-14-16716-40-012.png,5,15,113.2109649
SOB_M_DC-14-16716-40-013.png,0,2,15.09479531
SOB_M_DC-14-16716-40-013.png,1,8,60.37918126
SOB_M_DC-14-16716-40-013.png,2,25,188.6849414
SOB_M_DC-14-16716-40-013.png,3,37,279.2537133
SOB_M_DC-14-16716-40-013.png,4,25,188.6849414
SOB_M_DC-14-16716-40-013.png,5,5,37.73698829
SOB_M_DC-14-16716-40-014.png,0,15,113.2109649
SOB_M_DC-14-16716-40-014.png,1,32,241.516725
SOB_M_DC-14-16716-40-014.png,2,56,422.6542688
SOB_M_DC-14-16716-40-014.png,3,66,498.1282454
SOB_M_DC-14-16716-40-014.png,4,18,135.8531578
SOB_M_DC-14-16716-40-014.png,5,34,256.6115203
SOB_M_DC-14-16716-40-015.png,0,15,113.2109649
SOB_M_DC-14-16716-40-015.png,1,48,362.2750875
SOB_M_DC-14-16716-40-015.png,2,30,226.4219297
SOB_M_DC-14-16716-40-015.png,3,18,135.8531578
SOB_M_DC-14-16716-40-015.png,4,47,354.7276899
SOB_M_DC-14-16716-40-015.png,5,69,520.7704384
SOB_M_DC-14-16716-40-016.png,0,61,460.3912571
SOB_M_DC-14-16716-40-016.png,1,28,211.3271344
SOB_M_DC-14-16716-40-016.png,2,46,347.1802922
SOB_M_DC-14-16716-40-016.png,3,28,211.3271344
SOB_M_DC-14-16716-40-016.png,4,32,241.516725
SOB_M_DC-14-16716-40-016.png,5,29,218.8745321
SOB_M_DC-14-16716-40-017.png,0,13,98.11616954
SOB_M_DC-14-16716-40-017.png,1,9,67.92657892
SOB_M_DC-14-16716-40-017.png,2,20,150.9479531
SOB_M_DC-14-16716-40-017.png,3,39,294.3485086
SOB_M_DC-14-16716-40-017.png,4,14,105.6635672
SOB_M_DC-14-16716-40-017.png,5,29,218.8745321
SOB_M_DC-14-16716-40-018.png,0,11,83.02137423
SOB_M_DC-14-16716-40-018.png,1,16,120.7583625
SOB_M_DC-14-16716-40-018.png,2,37,279.2537133
SOB_M_DC-14-16716-40-018.png,3,16,120.7583625
SOB_M_DC-14-16716-40-018.png,4,10,75.47397657
SOB_M_DC-14-16716-40-018.png,5,24,181.1375438
SOB_M_DC-14-16716-40-019.png,0,30,226.4219297
SOB_M_DC-14-16716-40-019.png,1,44,332.0854969
SOB_M_DC-14-16716-40-019.png,2,35,264.158918
SOB_M_DC-14-16716-40-019.png,3,44,332.0854969
SOB_M_DC-14-16716-40-019.png,4,15,113.2109649
SOB_M_DC-14-16716-40-019.png,5,30,226.4219297
SOB_M_DC-14-16716-40-020.png,0,41,309.4433039
SOB_M_DC-14-16716-40-020.png,1,67,505.675643
SOB_M_DC-14-16716-40-020.png,2,55,415.1068712
SOB_M_DC-14-16716-40-020.png,3,18,135.8531578
SOB_M_DC-14-16716-40-020.png,4,25,188.6849414
SOB_M_DC-14-16716-40-020.png,5,58,437.7490641
SOB_M_DC-14-16716-40-021.png,0,31,233.9693274
SOB_M_DC-14-16716-40-021.png,1,34,256.6115203
SOB_M_DC-14-16716-40-021.png,2,11,83.02137423
SOB_M_DC-14-16716-40-021.png,3,18,135.8531578
SOB_M_DC-14-16716-40-021.png,4,16,120.7583625
SOB_M_DC-14-16716-40-021.png,5,15,113.2109649
SOB_M_DC-14-16716-40-022.png,0,22,166.0427485
SOB_M_DC-14-16716-40-022.png,1,21,158.4953508
SOB_M_DC-14-16716-40-022.png,2,38,286.801111
SOB_M_DC-14-16716-40-022.png,3,27,203.7797367
SOB_M_DC-14-16716-40-022.png,4,30,226.4219297
SOB_M_DC-14-16716-40-022.png,5,15,113.2109649
SOB_M_DC-14-16716-40-023.png,0,24,181.1375438
SOB_M_DC-14-16716-40-023.png,1,23,173.5901461
SOB_M_DC-14-16716-40-023.png,2,17,128.3057602
SOB_M_DC-14-16716-40-023.png,3,10,75.47397657
SOB_M_DC-14-16716-40-023.png,4,11,83.02137423
SOB_M_DC-14-16716-40-023.png,5,29,218.8745321
SOB_M_DC-14-16716-40-024.png,0,20,150.9479531
SOB_M_DC-14-16716-40-024.png,1,56,422.6542688
SOB_M_DC-14-16716-40-024.png,2,8,60.37918126
SOB_M_DC-14-16716-40-024.png,3,22,166.0427485
SOB_M_DC-14-16716-40-024.png,4,24,181.1375438
SOB_M_DC-14-16716-40-024.png,5,19,143.4005555
SOB_M_DC-14-16716-40-025.png,0,24,181.1375438
SOB_M_DC-14-16716-40-025.png,1,17,128.3057602
SOB_M_DC-14-16716-40-025.png,2,26,196.2323391
SOB_M_DC-14-16716-40-025.png,3,18,135.8531578
SOB_M_DC-14-16716-40-025.png,4,19,143.4005555
SOB_M_DC-14-16716-40-025.png,5,3,22.64219297
SOB_M_DC-14-16716-40-026.png,0,14,105.6635672
SOB_M_DC-14-16716-40-026.png,1,24,181.1375438
SOB_M_DC-14-16716-40-026.png,2,15,113.2109649
SOB_M_DC-14-16716-40-026.png,3,13,98.11616954
SOB_M_DC-14-16716-40-026.png,4,10,75.47397657
SOB_M_DC-14-16716-40-026.png,5,19,143.4005555
SOB_M_DC-14-16716-40-027.png,0,37,279.2537133
SOB_M_DC-14-16716-40-027.png,1,10,75.47397657
SOB_M_DC-14-16716-40-027.png,2,14,105.6635672
SOB_M_DC-14-16716-40-027.png,3,11,83.02137423
SOB_M_DC-14-16716-40-027.png,4,9,67.92657892
SOB_M_DC-14-16716-40-027.png,5,14,105.6635672
SOB_M_DC-14-16716-40-028.png,0,5,37.73698829
SOB_M_DC-14-16716-40-028.png,1,6,45.28438594
SOB_M_DC-14-16716-40-028.png,2,6,45.28438594
SOB_M_DC-14-16716-40-028.png,3,2,15.09479531
SOB_M_DC-14-16716-40-028.png,4,10,75.47397657
SOB_M_DC-14-16716-40-028.png,5,16,120.7583625
SOB_M_DC-14-16716-40-029.png,0,7,52.8317836
SOB_M_DC-14-16716-40-029.png,1,4,30.18959063
SOB_M_DC-14-16716-40-029.png,2,12,90.56877189
SOB_M_DC-14-16716-40-029.png,3,11,83.02137423
SOB_M_DC-14-16716-40-029.png,4,15,113.2109649
SOB_M_DC-14-16716-40-029.png,5,18,135.8531578
SOB_M_DC-14-16716-40-030.png,0,17,128.3057602
SOB_M_DC-14-16716-40-030.png,1,10,75.47397657
SOB_M_DC-14-16716-40-030.png,2,9,67.92657892
SOB_M_DC-14-16716-40-030.png,3,20,150.9479531
SOB_M_DC-14-16716-40-030.png,4,18,135.8531578
SOB_M_DC-14-16716-40-030.png,5,4,30.18959063
SOB_M_DC-14-16716-40-031.png,0,12,90.56877189
